arm,seed,validation_score,locked_test_score,validation_test_gap,constraint_compliant_score,validation_constraint_compliant_score,leakage_violations,silent_skip_count,risk_violations,unsafe_accepted_patch_rate,accepted_patch_count,useful_patch_count,rejected_patch_count,final_harness_config,outer_evaluator_version,beats_constrained_fixed,beats_random_legal_patch,delta_vs_constrained_fixed_locked_test,delta_vs_random_legal_patch_locked_test,delta_vs_constrained_fixed_compliant_score,delta_vs_random_legal_patch_compliant_score
Generic Unconstrained,0,15.058592585015464,-23.689563191846474,38.748155776861935,-49.289563191846476,-10.541407414984535,2,18,182,1.0,2,0,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""ignore_missing"", ""data_interface_mode"": ""raw"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.4, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Constrained Fixed,0,-28.506275211538355,-22.98522832764446,-5.521046883893895,-23.73522832764446,-29.331275211538358,0,0,26,0.0,0,0,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Random Legal Patch,0,-36.500022624918266,-29.719757604817023,-6.780265020101243,-30.644757604817023,-37.32502262491827,0,0,33,0.0,30,0,66,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.06, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
TASE Finance-Constrained,0,-28.506275211538355,-22.98522832764446,-5.521046883893895,-23.73522832764446,-29.331275211538358,0,0,26,0.0,1,1,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,True,0.0,6.7345292771725624,0.0,6.909529277172563
Generic Unconstrained,1,11.748959021947304,-22.836604195899508,34.58556321784681,-45.81160419589951,-10.426040978052695,2,79,20,1.0,5,0,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""raw"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""minimal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": true, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Constrained Fixed,1,-34.76744565974086,-20.856423545861823,-13.911022113879035,-21.831423545861824,-35.91744565974086,0,0,35,0.0,0,0,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Random Legal Patch,1,-39.1493150323444,-24.90641336904691,-14.242901663297488,-25.881413369046907,-40.3243150323444,0,0,31,0.0,30,0,76,"{""allow_future_fields"": false, ""control_flow_mode"": ""retry"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.08000000000000002, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
TASE Finance-Constrained,1,-34.76744565974086,-20.856423545861823,-13.911022113879035,-21.831423545861824,-35.91744565974086,0,0,35,0.0,1,0,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,True,0.0,4.049989823185086,0.0,4.049989823185083
Generic Unconstrained,2,11.557829402297129,-23.657958597556927,35.21578799985406,-49.25795859755693,-14.04217059770287,2,81,119,1.0,2,0,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""retry"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.4, ""skip_bad_days"": true, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Constrained Fixed,2,-33.73007560293613,-22.48918018645856,-11.24089541647757,-23.289180186458562,-34.90507560293614,0,0,28,0.0,0,0,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Random Legal Patch,2,-34.58526277536092,-23.855964259926072,-10.729298515434845,-24.655964259926073,-35.56026277536092,0,0,28,0.0,30,0,71,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.08000000000000002, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
TASE Finance-Constrained,2,-31.782089793589122,-21.97886766061329,-9.803222132975833,-22.55386766061329,-32.78208979358912,0,0,23,0.0,1,1,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,True,True,0.5103125258452721,1.8770965993127824,0.7353125258452735,2.102096599312784
Generic Unconstrained,3,12.378543357821265,-19.45041445243189,31.828957810253154,-45.05041445243189,-13.221456642178735,2,80,120,1.0,4,0,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""skip_errors"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.25, ""skip_bad_days"": true, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Constrained Fixed,3,-30.570045435800576,-22.950163349826987,-7.61988208597359,-23.92516334982699,-31.745045435800577,0,0,35,0.0,0,0,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Random Legal Patch,3,-32.537840330783425,-23.83476022680285,-8.703080103980575,-24.78476022680285,-33.512840330783426,0,0,30,0.0,30,0,65,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.08000000000000002, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
TASE Finance-Constrained,3,-26.128702643879386,-23.300581511092766,-2.8281211327866203,-24.150581511092767,-27.003702643879386,0,0,34,0.0,1,1,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,True,-0.35041816126577885,0.5341787157100839,-0.22541816126577885,0.6341787157100818
Generic Unconstrained,4,13.231071396115116,-22.51703915975718,35.748110555872294,-48.11703915975718,-12.368928603884884,2,19,181,1.0,1,0,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""skip_errors"", ""data_interface_mode"": ""raw"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""minimal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.4, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Constrained Fixed,4,-31.650534534179528,-20.072954610593207,-11.57757992358632,-20.89795461059321,-32.65053453417953,0,0,29,0.0,0,0,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
Random Legal Patch,4,-35.33342962040557,-28.46004873099869,-6.873380889406878,-29.11004873099869,-36.20842962040557,0,0,22,0.0,30,0,66,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.06, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,False,0.0,0.0,0.0,0.0
TASE Finance-Constrained,4,-28.253161079981886,-24.329210826373707,-3.9239502536081794,-25.229210826373706,-29.153161079981885,0,0,36,0.0,1,1,0,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights,False,True,-4.2562562157805,4.130837904624983,-4.3312562157804955,3.880837904624986
